Policy,Run,Seed,Total_Reward,Reward_CI,TTFF_steps,NST,RR_Score
MAB+PPO,1,42,93.14,"[91.56, 94.72]",2.37,8,9.26
MAB+PPO,2,123,96.25,"[94.64, 97.86]",3.08,8,9.61
MAB+PPO,3,456,95.14,"[93.81, 96.47]",2.75,8,9.45
MAB+PPO,4,789,97.71,"[96.19, 99.24]",2.33,9,9.83
MAB+PPO,5,2024,93.96,"[92.28, 95.65]",3.00,9,9.33
MAB+PPO,6,7,94.94,"[93.53, 96.34]",2.35,8,9.56
MAB+PPO,7,11,92.28,"[90.60, 93.97]",3.12,9,9.32
MAB+PPO,8,19,93.78,"[92.24, 95.31]",3.14,9,9.45
MAB+PPO,9,27,91.53,"[89.91, 93.15]",2.47,8,9.11
MAB+PPO,10,31,96.92,"[95.58, 98.26]",2.26,9,9.72
MAB+PPO,11,37,95.24,"[93.82, 96.66]",2.45,9,9.61
MAB+PPO,12,41,92.23,"[90.66, 93.79]",2.56,9,9.16
MAB+PPO,13,43,95.72,"[93.92, 97.51]",2.85,9,9.61
MAB+PPO,14,47,92.31,"[90.65, 93.98]",2.61,8,9.19
MAB+PPO,15,53,95.50,"[94.17, 96.83]",3.17,10,9.51
MAB+PPO,16,59,100.29,"[98.86, 101.73]",2.90,9,9.98
MAB+PPO,17,61,95.35,"[93.82, 96.89]",2.50,9,9.61
MAB+PPO,18,67,94.94,"[93.61, 96.27]",3.25,9,9.41
MAB+PPO,19,71,92.39,"[91.12, 93.65]",3.01,9,9.22
MAB+PPO,20,73,95.84,"[94.41, 97.27]",3.20,9,9.68
Expert Chain,1,42,52.77,"[51.26, 54.29]",5.08,5,5.28
Expert Chain,2,123,55.72,"[53.26, 58.18]",4.33,5,5.56
Expert Chain,3,456,59.07,"[56.25, 61.88]",4.31,5,5.84
Expert Chain,4,789,53.85,"[51.05, 56.66]",4.61,5,5.41
Expert Chain,5,2024,52.59,"[49.95, 55.24]",4.91,5,5.27
Expert Chain,6,7,54.64,"[52.65, 56.63]",4.29,6,5.54
Expert Chain,7,11,51.48,"[49.52, 53.45]",4.48,5,5.24
Expert Chain,8,19,45.70,"[43.47, 47.92]",4.78,5,4.62
Expert Chain,9,27,48.69,"[46.48, 50.90]",5.12,4,4.94
Expert Chain,10,31,53.70,"[51.88, 55.51]",4.85,5,5.31
Expert Chain,11,37,50.97,"[47.97, 53.96]",5.10,4,5.10
Expert Chain,12,41,49.99,"[48.16, 51.83]",4.84,5,4.95
Expert Chain,13,43,49.35,"[47.74, 50.95]",5.16,4,5.02
Expert Chain,14,47,49.17,"[47.56, 50.77]",4.78,5,4.86
Expert Chain,15,53,50.90,"[48.00, 53.81]",5.03,5,5.15
Expert Chain,16,59,45.70,"[43.91, 47.48]",4.81,4,4.55
Expert Chain,17,61,52.25,"[49.65, 54.84]",5.06,6,5.14
Expert Chain,18,67,55.25,"[53.24, 57.26]",5.10,5,5.46
Expert Chain,19,71,57.95,"[55.82, 60.09]",4.38,5,5.88
Expert Chain,20,73,48.14,"[45.35, 50.93]",5.14,3,4.91
MAB-Only,1,42,87.99,"[85.04, 90.94]",3.53,9,8.73
MAB-Only,2,123,97.74,"[96.42, 99.07]",2.51,8,9.75
MAB-Only,3,456,95.43,"[94.07, 96.79]",3.01,9,9.53
MAB-Only,4,789,94.75,"[92.95, 96.55]",2.82,9,9.41
MAB-Only,5,2024,92.55,"[90.77, 94.33]",2.95,9,9.30
MAB-Only,6,7,94.98,"[93.43, 96.53]",2.75,10,9.43
MAB-Only,7,11,94.14,"[92.89, 95.39]",2.48,9,9.45
MAB-Only,8,19,94.44,"[93.17, 95.72]",3.17,8,9.46
MAB-Only,9,27,93.50,"[92.05, 94.95]",2.91,9,9.44
MAB-Only,10,31,93.00,"[91.37, 94.63]",2.59,9,9.33
MAB-Only,11,37,93.38,"[91.99, 94.77]",3.08,8,9.33
MAB-Only,12,41,94.50,"[92.70, 96.29]",2.35,8,9.40
MAB-Only,13,43,94.54,"[92.81, 96.27]",3.15,9,9.39
MAB-Only,14,47,95.36,"[93.74, 96.98]",2.84,10,9.57
MAB-Only,15,53,87.34,"[84.61, 90.06]",2.93,9,8.82
MAB-Only,16,59,97.17,"[95.90, 98.44]",2.25,9,9.67
MAB-Only,17,61,94.56,"[92.93, 96.19]",2.48,9,9.41
MAB-Only,18,67,95.78,"[94.04, 97.53]",3.06,8,9.56
MAB-Only,19,71,97.47,"[96.27, 98.67]",2.90,10,9.70
